gender,company_type,wfh_setup_available,designation,resource_allocation,mental_fatigue_score,tenure_months,fatigue_resource_ratio,is_senior,high_workload,burnout_target
1,0,1,3,4.0,5.8,26.741130091984232,1.16,1,0,0
0,0,0,2,4.0,6.6,26.675427069645202,1.3199999999999998,0,0,0
1,0,0,2,4.0,7.4,27.43101182654402,1.48,0,0,1
1,0,0,2,5.0,6.7,27.496714848883048,1.1166666666666667,0,0,0
1,0,1,2,4.0,5.9,25.164257555847566,1.1800000000000002,0,0,0
1,1,1,1,2.0,3.6,31.6688567674113,1.2,0,0,0
1,0,1,1,2.0,3.9,24.50722733245729,1.3,0,0,0
1,0,0,0,1.0,3.0,26.675427069645202,1.5,0,0,0
0,0,0,1,3.0,4.7,33.73850197109067,1.175,0,0,0
0,1,0,4,8.0,8.7,31.964520367936924,0.9666666666666666,1,1,1
0,0,1,3,5.0,4.4,28.90932982917214,0.7333333333333334,1,0,0
1,0,1,3,6.0,5.8,29.040735873850196,0.8285714285714285,1,1,0
1,1,1,0,2.0,3.9,30.486202365308802,1.3,0,0,0
1,0,1,3,7.0,6.6,32.12877792378449,0.825,1,1,1
1,0,0,4,7.0,7.3,26.05124835742444,0.9125,1,1,1
1,0,1,3,5.0,5.9,34.13272010512483,0.9833333333333334,1,0,0
1,1,1,1,3.0,5.4,30.321944809461232,1.35,0,0,0
0,0,0,2,5.0,5.0,34.42838370565046,0.8333333333333334,0,0,0
1,0,1,2,3.0,6.0,30.256241787122207,1.5,0,0,0
1,0,1,3,6.0,7.5,24.7700394218134,1.0714285714285714,1,1,1
0,0,1,2,3.0,5.9,28.876478318002626,1.475,0,0,0
0,0,0,4,10.0,10.0,32.68725361366623,0.9090909090909091,1,1,1
1,1,1,3,6.0,5.9,33.21287779237845,0.8428571428571429,1,1,0
1,1,0,3,4.0,7.7,28.74507227332457,1.54,1,0,1
1,1,1,1,3.0,6.0,28.12089356110381,1.5,0,0,0
0,0,0,2,6.0,7.4,33.37713534822602,1.0571428571428572,0,1,1
1,0,1,2,5.0,6.4,29.33639947437582,1.0666666666666667,0,0,0
1,0,0,1,2.0,5.1,31.40604467805519,1.7,0,0,0
0,0,1,1,3.0,5.6,35.282522996057814,1.4,0,0,0
0,1,0,2,5.0,7.4,26.741130091984232,1.2333333333333334,0,0,1
1,1,1,3,5.0,6.1,27.69382391590013,1.0166666666666666,1,0,0
1,1,1,2,4.0,3.1,31.208935611038108,0.62,0,0,0
0,0,0,2,5.0,8.0,24.31011826544021,1.3333333333333333,0,0,1
1,1,0,1,2.0,4.0,32.78580814717477,1.3333333333333333,0,0,0
1,0,0,2,2.0,3.6,24.31011826544021,1.2,0,0,0
0,1,1,2,5.0,8.7,34.19842312746386,1.45,0,0,1
0,1,0,3,4.0,8.0,32.26018396846255,1.6,1,0,1
1,0,0,3,5.0,6.8,35.775295663600524,1.1333333333333333,1,0,1
1,0,1,2,3.0,4.9,25.36136662286465,1.225,0,0,0
1,1,0,3,6.0,7.9,27.660972404730618,1.1285714285714286,1,1,1
0,1,0,3,6.0,7.6,30.683311432325887,1.0857142857142856,1,1,1
1,0,0,5,9.0,9.2,34.09986859395532,0.9199999999999999,1,1,1
0,0,1,4,6.0,6.5,31.964520367936924,0.9285714285714286,1,1,1
1,0,0,3,5.0,6.8,28.38370565045992,1.1333333333333333,1,0,1
1,1,0,4,8.0,8.7,26.445466491458607,0.9666666666666666,1,1,1
0,0,1,2,5.0,6.2,28.580814717477004,1.0333333333333334,0,0,0
1,0,0,3,5.0,5.8,35.775295663600524,0.9666666666666667,1,0,0
1,1,0,2,4.0,6.6,29.50065703022339,1.3199999999999998,0,0,0
0,1,0,4,7.0,8.2,27.660972404730618,1.025,1,1,1
1,0,1,2,3.0,4.9,29.894875164257556,1.225,0,0,0
1,0,0,1,2.0,4.1,34.88830486202365,1.3666666666666665,0,0,0
0,0,0,3,7.0,7.4,29.00788436268068,0.925,1,1,1
1,1,1,0,1.0,5.9,32.03022339027595,2.95,0,0,0
0,0,1,1,2.0,4.4,31.373193166885674,1.4666666666666668,0,0,0
1,0,0,2,6.0,6.9,25.164257555847566,0.9857142857142858,0,1,1
1,1,1,1,2.0,5.3,26.346911957950066,1.7666666666666666,0,0,0
1,0,1,2,2.0,4.3,33.44283837056504,1.4333333333333333,0,0,0
0,1,1,0,1.0,0.8,27.135348226018397,0.4,0,0,0
1,0,1,2,4.0,2.9,33.14717477003942,0.58,0,0,0
1,0,1,1,3.0,5.0,33.67279894875164,1.25,0,0,0
0,0,1,1,4.0,6.9,31.40604467805519,1.3800000000000001,0,0,1
1,0,0,3,5.0,4.7,27.463863337713533,0.7833333333333333,1,0,0
1,0,0,1,3.0,2.0,34.59264126149803,0.5,0,0,0
1,0,0,2,4.0,5.4,27.398160315374508,1.08,0,0,0
0,1,0,2,5.0,6.1,29.96057818659658,1.0166666666666666,0,0,0
1,1,1,1,4.0,5.1,26.149802890932982,1.02,0,0,0
1,0,1,1,2.0,3.8,28.74507227332457,1.2666666666666666,0,0,0
0,1,0,4,9.0,5.9,35.31537450722733,0.5900000000000001,1,1,1
1,0,1,3,5.0,4.7,32.55584756898817,0.7833333333333333,1,0,0
0,0,1,3,5.0,5.4,26.182654402102497,0.9,1,0,0
1,0,0,4,7.0,9.1,35.019710906701704,1.1375,1,1,1
0,0,1,1,3.0,5.0,35.939553219448094,1.25,0,0,0
0,1,0,1,1.0,0.0,33.63994743758213,0.0,0,0,0
0,1,1,2,4.0,4.3,33.18002628120893,0.86,0,0,0
1,0,1,2,4.0,6.7,28.38370565045992,1.34,0,0,0
1,1,0,2,5.0,5.7,26.675427069645202,0.9500000000000001,0,0,1
0,0,1,4,6.0,6.8,25.52562417871222,0.9714285714285714,1,1,1
0,0,0,3,6.0,7.6,28.48226018396846,1.0857142857142856,1,1,1
0,1,1,3,8.0,8.3,25.03285151116951,0.9222222222222223,1,1,1
1,1,0,1,3.0,5.5,28.777923784494085,1.375,0,0,0
1,0,0,1,3.0,5.3,30.12483574244415,1.325,0,0,0
1,0,0,3,7.0,8.0,31.865965834428383,1.0,1,1,1
0,0,1,4,6.0,6.4,24.47437582128778,0.9142857142857144,1,1,1
1,0,1,1,3.0,3.6,27.75952693823916,0.9,0,0,0
1,1,1,2,5.0,7.0,29.927726675427067,1.1666666666666667,0,0,1
1,1,0,3,7.0,7.6,26.116951379763467,0.95,1,1,1
0,0,0,2,5.0,8.7,31.865965834428383,1.45,0,0,1
1,1,1,0,1.0,2.6,34.39553219448094,1.3,0,0,0
1,0,1,2,4.0,4.7,32.78580814717477,0.9400000000000001,0,0,0
0,0,1,2,4.0,6.4,34.65834428383705,1.28,0,0,0
1,0,0,2,5.0,5.8,34.00131406044678,0.9666666666666667,0,0,0
1,0,0,1,1.0,3.3,28.71222076215506,1.65,0,0,0
1,1,1,2,4.0,5.9,35.90670170827858,1.1800000000000002,0,0,0
1,1,0,2,4.0,7.8,26.642575558475688,1.56,0,0,1
0,1,1,1,3.0,7.0,25.558475689881732,1.75,0,0,1
1,0,0,4,7.0,7.2,27.95663600525624,0.9,1,1,1
0,0,1,3,7.0,7.9,26.905387647831798,0.9875,1,1,1
1,1,0,3,5.0,5.9,31.044678055190538,0.9833333333333334,1,0,0
1,0,1,1,3.0,5.9,27.496714848883048,1.475,0,0,0
0,0,0,1,3.0,4.4,33.96846254927726,1.1,0,0,0
0,0,1,2,5.0,5.2,34.32982917214192,0.8666666666666667,0,0,0
1,1,1,2,4.0,5.3,33.21287779237845,1.06,0,0,0
0,0,0,3,5.0,5.9,34.92115637319316,0.9833333333333334,1,0,0
1,0,0,4,6.0,5.9,24.901445466491456,0.8428571428571429,1,1,1
1,1,1,4,4.0,8.9,27.8580814717477,1.78,1,0,1
1,1,1,3,4.0,5.2,27.463863337713533,1.04,1,0,0
0,0,1,2,5.0,4.5,34.23127463863337,0.75,0,0,0
1,1,0,2,3.0,6.6,24.73718791064389,1.65,0,0,0
1,1,1,3,5.0,3.8,35.41392904073587,0.6333333333333333,1,0,0
0,1,0,3,7.0,7.6,35.183968462549274,0.95,1,1,1
1,0,1,1,4.0,5.9,31.734559789750328,1.1800000000000002,0,0,0
1,1,1,3,6.0,5.6,31.537450722733244,0.7999999999999999,1,1,0
1,0,1,1,3.0,5.4,28.71222076215506,1.35,0,0,0
0,1,1,1,2.0,4.9,30.12483574244415,1.6333333333333335,0,0,0
0,0,0,2,5.0,7.3,31.83311432325887,1.2166666666666666,0,0,1
0,0,0,2,5.0,5.6,31.964520367936924,0.9333333333333332,0,0,1
1,1,1,3,4.0,5.7,27.496714848883048,1.1400000000000001,1,0,0
1,1,0,4,8.0,7.8,26.511169513797633,0.8666666666666667,1,1,1
1,1,1,4,7.0,6.7,29.7634691195795,0.8375,1,1,1
1,0,0,1,4.0,6.5,33.70565045992115,1.3,0,0,0
1,0,1,0,1.0,1.8,28.54796320630749,0.9,0,0,0
1,1,0,3,6.0,8.1,28.21944809461235,1.157142857142857,1,1,1
0,1,0,2,5.0,6.9,24.57293035479632,1.1500000000000001,0,0,0
0,0,1,3,7.0,6.4,32.19448094612352,0.8,1,1,1
0,0,1,3,8.0,7.2,35.183968462549274,0.8,1,1,1
1,0,0,2,5.0,8.6,27.8580814717477,1.4333333333333333,0,0,1
0,0,0,2,5.0,5.9,32.95006570302234,0.9833333333333334,0,0,1
0,1,0,4,8.0,9.5,24.40867279894875,1.0555555555555556,1,1,1
0,1,1,2,6.0,6.8,28.613666228646515,0.9714285714285714,0,1,1
1,0,0,2,5.0,6.5,33.8042049934297,1.0833333333333333,0,0,1
1,0,1,2,3.0,3.5,27.562417871222074,0.875,0,0,0
0,0,0,2,3.0,4.8,32.26018396846255,1.2,0,0,0
0,1,0,3,8.0,7.6,34.85545335085414,0.8444444444444444,1,1,1
0,1,1,3,6.0,6.2,34.46123521681997,0.8857142857142858,1,1,1
1,1,1,3,6.0,3.6,27.660972404730618,0.5142857142857143,1,1,0
0,1,0,3,6.0,8.0,32.52299605781866,1.1428571428571428,1,1,1
1,0,1,3,5.0,6.0,26.248357424441522,1.0,1,0,0
1,0,1,1,3.0,3.8,33.90275952693824,0.95,0,0,0
1,1,1,1,2.0,2.4,32.95006570302234,0.7999999999999999,0,0,0
0,0,1,1,4.0,4.3,28.777923784494085,0.86,0,0,0
1,0,1,1,2.0,3.7,27.43101182654402,1.2333333333333334,0,0,0
0,0,1,2,6.0,5.9,27.201051248357423,0.8428571428571429,0,1,0
0,1,1,2,5.0,5.6,34.03416557161629,0.9333333333333332,0,0,0
1,0,1,0,1.0,1.0,31.307490144546648,0.5,0,0,0
1,1,1,2,5.0,7.2,27.792378449408673,1.2,0,0,1
0,0,1,1,3.0,6.7,33.31143232588699,1.675,0,0,0
1,0,1,1,2.0,5.9,35.21681997371879,1.9666666666666668,0,0,0
1,0,1,3,8.0,7.5,24.080157687253614,0.8333333333333334,1,1,1
1,0,0,3,6.0,5.9,30.55190538764783,0.8428571428571429,1,1,1
1,0,0,4,7.0,7.5,33.18002628120893,0.9375,1,1,1
1,1,0,0,1.0,4.0,34.23127463863337,2.0,0,0,0
1,0,1,1,3.0,5.3,25.03285151116951,1.325,0,0,0
1,1,0,2,5.0,7.5,26.938239159001313,1.25,0,0,1
1,0,1,1,2.0,5.9,35.4796320630749,1.9666666666666668,0,0,0
0,1,0,4,7.0,7.7,35.05256241787122,0.9625,1,1,1
0,0,1,0,2.0,4.4,33.14717477003942,1.4666666666666668,0,0,0
1,0,1,2,3.0,5.9,26.346911957950066,1.475,0,0,0
0,0,1,4,6.0,5.9,34.92115637319316,0.8428571428571429,1,1,1
0,0,1,3,5.0,6.5,26.609724047306177,1.0833333333333333,1,0,0
0,1,1,2,4.0,5.5,34.75689881734559,1.1,0,0,0
0,0,0,2,5.0,5.0,25.19710906701708,0.8333333333333334,0,0,0
1,0,1,1,1.0,5.9,32.29303547963206,2.95,0,0,0
0,1,0,4,10.0,9.2,25.78843626806833,0.8363636363636363,1,1,1
0,1,1,2,5.0,5.0,30.387647831800262,0.8333333333333334,0,0,0
1,1,1,1,2.0,4.1,24.277266754270695,1.3666666666666665,0,0,0
1,0,0,3,6.0,5.5,25.229960578186596,0.7857142857142857,1,1,0
0,0,0,5,9.0,8.8,30.354796320630747,0.8800000000000001,1,1,1
1,0,0,2,4.0,5.5,31.40604467805519,1.1,0,0,0
0,1,1,1,3.0,5.9,25.065703022339026,1.475,0,0,0
1,0,1,2,4.0,4.5,28.679369250985545,0.9,0,0,0
0,1,0,3,6.0,8.0,32.09592641261498,1.1428571428571428,1,1,1
1,0,1,2,4.0,5.8,29.33639947437582,1.16,0,0,0
0,0,0,1,3.0,4.4,25.394218134034166,1.1,0,0,0
1,1,1,2,4.0,6.1,24.40867279894875,1.22,0,0,0
0,1,0,3,6.0,7.5,24.080157687253614,1.0714285714285714,1,1,1
1,0,0,2,7.0,8.0,30.387647831800262,1.0,0,1,1
0,1,0,2,3.0,6.1,28.02233902759527,1.525,0,0,0
0,1,1,1,2.0,5.1,31.208935611038108,1.7,0,0,0
1,0,1,3,4.0,5.9,24.21156373193167,1.1800000000000002,1,0,0
1,0,1,3,5.0,4.7,34.55978975032851,0.7833333333333333,1,0,0
1,0,1,3,5.0,5.2,33.93561103810775,0.8666666666666667,1,0,0
0,1,1,0,1.0,0.0,26.839684625492772,0.0,0,0,0
1,0,1,2,5.0,5.1,26.346911957950066,0.85,0,0,0
0,1,1,1,2.0,4.4,28.515111695137975,1.4666666666666668,0,0,0
1,1,0,4,6.0,6.9,26.084099868593952,0.9857142857142858,1,1,1
1,0,0,2,5.0,5.3,29.566360052562416,0.8833333333333333,0,0,0
0,0,0,2,3.0,5.9,32.35873850197109,1.475,0,0,0
1,0,1,3,6.0,6.0,27.989487516425754,0.8571428571428571,1,1,1
0,1,0,4,7.0,8.6,35.84099868593955,1.075,1,1,1
0,0,0,2,5.0,7.3,33.40998685939553,1.2166666666666666,0,0,1
1,0,1,1,3.0,5.5,32.58869908015769,1.375,0,0,0
0,0,1,1,3.0,2.9,31.373193166885674,0.725,0,0,0
1,1,0,3,6.0,5.1,30.683311432325887,0.7285714285714285,1,1,0
0,0,1,4,8.0,5.9,26.938239159001313,0.6555555555555556,1,1,1
0,0,0,2,5.0,6.4,34.49408672798948,1.0666666666666667,0,0,1
1,0,1,2,3.0,5.9,34.85545335085414,1.475,0,0,0
0,0,1,1,4.0,4.8,28.679369250985545,0.96,0,0,0
1,0,0,3,4.0,5.8,25.394218134034166,1.16,1,0,0
1,0,1,3,4.0,6.1,26.084099868593952,1.22,1,0,0
1,0,1,3,5.0,5.3,30.683311432325887,0.8833333333333333,1,0,0
1,1,1,1,4.0,5.5,26.609724047306177,1.1,0,0,0
1,0,1,1,3.0,5.5,26.708278580814717,1.375,0,0,0
1,0,0,3,7.0,7.8,27.16819973718791,0.975,1,1,1
0,1,0,4,8.0,8.9,31.011826544021023,0.9888888888888889,1,1,1
1,1,0,2,4.0,5.9,29.69776609724047,1.1800000000000002,0,0,0
1,0,1,1,4.0,6.9,29.303547963206306,1.3800000000000001,0,0,0
1,0,1,1,3.0,5.9,29.730617608409986,1.475,0,0,0
0,0,1,0,1.0,0.0,28.74507227332457,0.0,0,0,0
0,0,1,4,9.0,9.3,26.872536136662287,0.93,1,1,1
1,0,1,1,2.0,4.6,33.60709592641261,1.5333333333333332,0,0,0
1,0,1,2,5.0,7.3,28.90932982917214,1.2166666666666666,0,0,0
1,0,1,3,6.0,5.7,30.584756898817343,0.8142857142857143,1,1,0
1,0,1,2,4.0,4.5,26.281208935611037,0.9,0,0,0
0,1,1,0,2.0,4.7,34.2969776609724,1.5666666666666667,0,0,0
0,1,0,4,8.0,9.9,34.88830486202365,1.1,1,1,1
1,0,1,3,6.0,6.3,31.438896189224703,0.9,1,1,0
1,0,1,1,3.0,3.6,27.365308804204993,0.9,0,0,0
1,0,1,0,2.0,4.3,33.8042049934297,1.4333333333333333,0,0,0
1,0,1,3,4.0,6.5,29.00788436268068,1.3,1,0,0
0,0,0,4,9.0,8.7,35.446780551905384,0.8699999999999999,1,1,1
0,0,1,0,1.0,3.1,33.93561103810775,1.55,0,0,0
0,0,1,2,4.0,3.6,29.632063074901446,0.72,0,0,0
0,0,1,1,2.0,3.6,28.54796320630749,1.2,0,0,0
1,1,1,3,5.0,5.7,25.88699080157687,0.9500000000000001,1,0,0
1,0,1,2,5.0,5.7,25.229960578186596,0.9500000000000001,0,0,0
1,0,0,0,1.0,0.5,32.52299605781866,0.25,0,0,0
1,1,0,2,4.0,3.9,24.868593955321945,0.78,0,0,0
0,1,1,3,4.0,7.3,29.17214191852825,1.46,1,0,1
1,1,0,2,5.0,7.0,24.802890932982915,1.1666666666666667,0,0,1
1,0,0,2,4.0,5.9,26.609724047306177,1.1800000000000002,0,0,0
0,0,1,3,4.0,5.4,30.55190538764783,1.08,1,0,0
1,0,1,2,3.0,3.7,30.913272010512483,0.925,0,0,0
1,1,0,3,4.0,7.4,24.47437582128778,1.48,1,0,1
1,0,1,2,4.0,6.1,27.726675427069644,1.22,0,0,0
0,0,1,0,1.0,2.8,34.85545335085414,1.4,0,0,0
1,0,0,2,4.0,6.9,25.985545335085412,1.3800000000000001,0,0,1
0,0,1,3,7.0,7.3,35.11826544021025,0.9125,1,1,1
0,0,0,3,7.0,7.2,32.58869908015769,0.9,1,1,1
0,0,1,2,7.0,9.0,32.91721419185282,1.125,0,1,1
1,0,0,0,1.0,0.0,29.86202365308804,0.0,0,0,0
0,1,1,2,6.0,5.6,24.40867279894875,0.7999999999999999,0,1,1
1,0,1,2,4.0,6.8,24.113009198423125,1.3599999999999999,0,0,1
1,0,1,1,3.0,5.1,34.65834428383705,1.275,0,0,0
1,0,1,3,5.0,6.0,29.796320630749012,1.0,1,0,1
1,0,1,1,3.0,6.8,24.50722733245729,1.7,0,0,0
0,1,1,2,5.0,6.5,25.45992115637319,1.0833333333333333,0,0,1
0,0,1,4,6.0,5.7,29.632063074901446,0.8142857142857143,1,1,0
0,0,1,2,4.0,6.9,35.34822601839684,1.3800000000000001,0,0,1
0,1,1,3,5.0,6.1,26.412614980289092,1.0166666666666666,1,0,0
0,0,1,3,7.0,8.8,35.808147174770035,1.1,1,1,1
1,0,1,1,2.0,6.8,26.346911957950066,2.2666666666666666,0,0,0
0,1,0,0,4.0,3.8,24.24441524310118,0.76,0,0,0
0,0,0,4,7.0,5.9,30.749014454664913,0.7375,1,1,1
0,0,0,2,5.0,6.8,35.41392904073587,1.1333333333333333,0,0,1
0,1,1,2,4.0,5.5,27.59526938239159,1.1,0,0,0
1,0,1,2,3.0,4.5,26.116951379763467,1.125,0,0,0
1,1,0,2,2.0,2.6,29.33639947437582,0.8666666666666667,0,0,0
0,0,0,5,10.0,10.0,26.576872536136662,0.9090909090909091,1,1,1
1,0,1,1,2.0,4.3,25.755584756898816,1.4333333333333333,0,0,0
0,1,0,3,8.0,8.8,34.49408672798948,0.9777777777777779,1,1,1
1,0,0,4,7.0,7.2,29.69776609724047,0.9,1,1,1
0,0,1,1,3.0,4.4,27.95663600525624,1.1,0,0,0
1,0,0,2,4.0,5.5,24.901445466491456,1.1,0,0,0
1,1,0,2,5.0,7.8,24.178712220762154,1.3,0,0,1
0,1,1,1,3.0,4.5,31.800262812089354,1.125,0,0,0
0,0,0,4,6.0,6.7,28.64651773981603,0.9571428571428572,1,1,1
1,0,0,1,1.0,3.4,35.183968462549274,1.7,0,0,0
1,0,0,0,1.0,3.6,28.252299605781864,1.8,0,0,0
1,1,0,3,7.0,7.9,34.92115637319316,0.9875,1,1,1
1,0,1,2,5.0,5.3,27.036793692509853,0.8833333333333333,0,0,0
1,0,1,1,3.0,5.3,27.33245729303548,1.325,0,0,0
1,1,0,3,6.0,5.5,25.689881734559787,0.7857142857142857,1,1,1
1,1,0,1,3.0,5.4,32.12877792378449,1.35,0,0,0
0,1,1,1,1.0,4.8,24.21156373193167,2.4,0,0,0
1,1,1,2,4.0,6.2,35.74244415243101,1.24,0,0,0
0,1,0,4,6.0,6.9,31.471747700394218,0.9857142857142858,1,1,1
1,1,1,2,5.0,8.0,35.282522996057814,1.3333333333333333,0,0,1
0,1,0,3,7.0,8.7,27.562417871222074,1.0875,1,1,1
1,0,0,1,3.0,4.2,28.74507227332457,1.05,0,0,0
0,0,0,2,2.0,4.2,24.7700394218134,1.4000000000000001,0,0,0
1,0,0,3,6.0,7.2,35.21681997371879,1.0285714285714287,1,1,1
1,0,1,2,4.0,5.2,26.773981603153743,1.04,0,0,0
0,0,1,2,2.0,3.3,27.562417871222074,1.0999999999999999,0,0,0
0,1,0,0,1.0,1.6,28.777923784494085,0.8,0,0,0
0,0,0,2,5.0,6.3,27.135348226018397,1.05,0,0,1
0,0,1,2,4.0,6.8,31.964520367936924,1.3599999999999999,0,0,1
1,1,1,0,1.0,2.0,29.27069645203679,1.0,0,0,0
0,1,1,3,6.0,5.9,31.373193166885674,0.8428571428571429,1,1,1
0,1,1,3,5.0,3.8,34.88830486202365,0.6333333333333333,1,0,0
1,1,1,1,2.0,2.7,31.6688567674113,0.9,0,0,0
1,0,0,4,7.0,8.1,34.32982917214192,1.0125,1,1,1
1,1,1,1,1.0,1.3,24.73718791064389,0.65,0,0,0
1,0,1,2,4.0,7.0,26.511169513797633,1.4,0,0,0
0,0,0,4,7.0,5.9,31.537450722733244,0.7375,1,1,1
1,0,0,2,5.0,6.6,26.182654402102497,1.0999999999999999,0,0,0
1,0,0,2,5.0,7.9,27.299605781865964,1.3166666666666667,0,0,1
1,1,0,0,2.0,4.7,28.843626806833115,1.5666666666666667,0,0,0
1,0,0,2,4.0,7.9,31.964520367936924,1.58,0,0,1
1,1,0,2,6.0,6.4,33.96846254927726,0.9142857142857144,0,1,1
0,0,1,5,9.0,9.3,32.06307490144547,0.93,1,1,1
0,1,0,2,4.0,6.3,24.375821287779235,1.26,0,0,0
0,0,0,2,4.0,6.4,27.989487516425754,1.28,0,0,1
0,0,0,3,7.0,6.9,34.00131406044678,0.8625,1,1,1
1,0,1,1,1.0,4.9,34.75689881734559,2.45,0,0,0
1,1,1,3,4.0,5.2,32.6215505913272,1.04,1,0,0
1,0,0,2,5.0,6.2,25.36136662286465,1.0333333333333334,0,0,1
1,0,1,1,2.0,5.3,25.394218134034166,1.7666666666666666,0,0,0
0,1,1,3,6.0,6.2,28.64651773981603,0.8857142857142858,1,1,1
0,1,0,2,5.0,6.1,32.65440210249671,1.0166666666666666,0,0,1
1,0,1,2,3.0,5.5,25.427069645203677,1.375,0,0,0
0,0,0,4,8.0,9.5,32.35873850197109,1.0555555555555556,1,1,1
0,1,0,2,6.0,6.3,28.679369250985545,0.9,0,1,1
0,0,1,3,5.0,5.2,34.19842312746386,0.8666666666666667,1,0,0
0,0,1,1,4.0,5.1,30.321944809461232,1.02,0,0,0
1,0,1,2,5.0,5.9,34.526938239159,0.9833333333333334,0,0,0
1,0,0,2,5.0,5.8,29.33639947437582,0.9666666666666667,0,0,0
1,0,0,2,4.0,5.9,31.307490144546648,1.1800000000000002,0,0,0
1,1,0,1,1.0,3.2,28.54796320630749,1.6,0,0,0
1,0,1,2,4.0,6.1,34.23127463863337,1.22,0,0,0
1,0,1,3,5.0,5.7,35.11826544021025,0.9500000000000001,1,0,0
1,0,0,2,4.0,7.5,34.55978975032851,1.5,0,0,1
1,0,0,2,4.0,6.0,25.427069645203677,1.2,0,0,1
1,0,0,2,2.0,3.9,34.23127463863337,1.3,0,0,0
0,0,0,4,8.0,8.4,26.609724047306177,0.9333333333333333,1,1,1
1,1,1,1,2.0,6.0,24.31011826544021,2.0,0,0,0
0,0,0,3,8.0,5.9,26.938239159001313,0.6555555555555556,1,1,1
1,0,1,4,7.0,5.9,27.75952693823916,0.7375,1,1,1
0,0,1,1,3.0,4.9,33.60709592641261,1.225,0,0,0
0,1,1,3,4.0,6.3,30.814717477003942,1.26,1,0,0
0,0,0,4,8.0,8.0,28.02233902759527,0.8888888888888888,1,1,1
0,0,0,2,7.0,7.1,25.492772667542706,0.8875,0,1,1
0,0,0,4,8.0,7.3,30.190538764783177,0.8111111111111111,1,1,1
1,1,0,4,8.0,8.2,31.701708278580814,0.911111111111111,1,1,1
1,1,0,2,6.0,7.1,27.92378449408673,1.0142857142857142,0,1,1
1,0,1,2,5.0,4.5,33.86990801576872,0.75,0,0,0
1,0,1,1,4.0,5.0,33.31143232588699,1.0,0,0,0
0,0,0,2,5.0,4.2,25.919842312746386,0.7000000000000001,0,0,0
0,1,1,1,3.0,4.8,34.13272010512483,1.2,0,0,0
1,0,1,4,8.0,9.4,27.233902759526938,1.0444444444444445,1,1,1
0,0,1,4,7.0,7.9,27.036793692509853,0.9875,1,1,1
0,1,1,0,2.0,2.1,34.26412614980289,0.7000000000000001,0,0,0
0,0,1,2,5.0,4.2,26.182654402102497,0.7000000000000001,0,0,0
0,0,0,1,3.0,6.6,33.01576872536137,1.65,0,0,0
1,1,0,4,6.0,7.1,30.486202365308802,1.0142857142857142,1,1,1
0,1,0,5,10.0,9.7,28.71222076215506,0.8818181818181817,1,1,1
1,1,1,1,2.0,5.5,31.24178712220762,1.8333333333333333,0,0,0
1,0,0,1,3.0,5.2,31.340341655716163,1.3,0,0,0
0,1,0,4,7.0,8.4,35.611038107752954,1.05,1,1,1
0,1,0,2,3.0,3.4,28.843626806833115,0.85,0,0,0
0,0,0,2,4.0,7.2,34.39553219448094,1.44,0,0,1
0,0,0,2,6.0,7.0,27.59526938239159,1.0,0,1,1
1,0,0,2,5.0,7.3,27.16819973718791,1.2166666666666666,0,0,1
0,0,0,3,6.0,6.5,30.847568988173453,0.9285714285714286,1,1,1
1,0,1,0,1.0,5.9,25.427069645203677,2.95,0,0,0
0,0,0,1,4.0,5.8,24.50722733245729,1.16,0,0,1
0,0,0,2,4.0,6.2,35.51248357424441,1.24,0,0,0
