gender, company_type, wfh_setup_available, designation, resource_allocation, mental_fatigue_score, tenure_months     , fatigue_resource_ratio, is_senior, high_workload, burnout_target
     0,            0,                   0,           3,                 6.0,                  6.7, 33.14717477003942 ,     0.9571428571428572,         1,             1,              1
     1,            1,                   1,           2,                 4.0,                  4.0, 31.110381077529563,     0.8               ,         0,             0,              0
     1,            0,                   0,           3,                 5.0,                  5.9, 30.157687253613666,     0.9833333333333334,         1,             0,              1
     0,            1,                   0,           2,                 4.0,                  7.6, 28.02233902759527 ,     1.52              ,         0,             0,              1
     0,            0,                   1,           1,                 3.0,                  6.3, 35.545335085413925,     1.575             ,         0,             0,              0
     0,            0,                   1,           1,                 3.0,                  6.7, 31.93166885676741 ,     1.675             ,         0,             0,              0
     1,            1,                   1,           3,                 4.0,                  7.7, 25.45992115637319 ,     1.54              ,         1,             0,              1
     1,            0,                   0,           3,                 8.0,                  5.9, 27.562417871222074,     0.6555555555555556,         1,             1,              1
     1,            0,                   1,           3,                 4.0,                  5.8, 26.741130091984232,     1.16              ,         1,             0,              0
     0,            0,                   0,           2,                 4.0,                  6.6, 26.675427069645202,     1.3199999999999998,         0,             0,              0
     1,            0,                   0,           2,                 4.0,                  7.4, 27.43101182654402 ,     1.48              ,         0,             0,              1
     1,            0,                   0,           2,                 5.0,                  6.7, 27.496714848883048,     1.1166666666666667,         0,             0,              0
     1,            0,                   1,           2,                 4.0,                  5.9, 25.164257555847566,     1.1800000000000002,         0,             0,              0
     1,            1,                   1,           1,                 2.0,                  3.6, 31.6688567674113  ,     1.2               ,         0,             0,              0
     1,            0,                   1,           1,                 2.0,                  3.9, 24.50722733245729 ,     1.3               ,         0,             0,              0
     1,            0,                   0,           0,                 1.0,                  3.0, 26.675427069645202,     1.5               ,         0,             0,              0
     0,            0,                   0,           1,                 3.0,                  4.7, 33.73850197109067 ,     1.175             ,         0,             0,              0
     0,            1,                   0,           4,                 8.0,                  8.7, 31.964520367936924,     0.9666666666666666,         1,             1,              1
     0,            0,                   1,           3,                 5.0,                  4.4, 28.90932982917214 ,     0.7333333333333334,         1,             0,              0
     1,            0,                   1,           3,                 6.0,                  5.8, 29.040735873850196,     0.8285714285714285,         1,             1,              0
     1,            1,                   1,           0,                 2.0,                  3.9, 30.486202365308802,     1.3               ,         0,             0,              0
     1,            0,                   1,           3,                 7.0,                  6.6, 32.12877792378449 ,     0.825             ,         1,             1,              1
     1,            0,                   0,           4,                 7.0,                  7.3, 26.05124835742444 ,     0.9125            ,         1,             1,              1
     1,            0,                   1,           3,                 5.0,                  5.9, 34.13272010512483 ,     0.9833333333333334,         1,             0,              0
     1,            1,                   1,           1,                 3.0,                  5.4, 30.321944809461232,     1.35              ,         0,             0,              0
     0,            0,                   0,           2,                 5.0,                  5.0, 34.42838370565046 ,     0.8333333333333334,         0,             0,              0
     1,            0,                   1,           2,                 3.0,                  6.0, 30.256241787122207,     1.5               ,         0,             0,              0
     1,            0,                   1,           3,                 6.0,                  7.5, 24.7700394218134  ,     1.0714285714285714,         1,             1,              1
     0,            0,                   1,           2,                 3.0,                  5.9, 28.876478318002626,     1.475             ,         0,             0,              0
     0,            0,                   0,           4,                10.0,                 10.0, 32.68725361366623 ,     0.9090909090909091,         1,             1,              1
     1,            1,                   1,           3,                 6.0,                  5.9, 33.21287779237845 ,     0.8428571428571429,         1,             1,              0
     1,            1,                   0,           3,                 4.0,                  7.7, 28.74507227332457 ,     1.54              ,         1,             0,              1
     1,            1,                   1,           1,                 3.0,                  6.0, 28.12089356110381 ,     1.5               ,         0,             0,              0
     0,            0,                   0,           2,                 6.0,                  7.4, 33.37713534822602 ,     1.0571428571428572,         0,             1,              1
     1,            0,                   1,           2,                 5.0,                  6.4, 29.33639947437582 ,     1.0666666666666667,         0,             0,              0
     1,            0,                   0,           1,                 2.0,                  5.1, 31.40604467805519 ,     1.7               ,         0,             0,              0
     0,            0,                   1,           1,                 3.0,                  5.6, 35.282522996057814,     1.4               ,         0,             0,              0
     0,            1,                   0,           2,                 5.0,                  7.4, 26.741130091984232,     1.2333333333333334,         0,             0,              1
     1,            1,                   1,           3,                 5.0,                  6.1, 27.69382391590013 ,     1.0166666666666666,         1,             0,              0
     1,            1,                   1,           2,                 4.0,                  3.1, 31.208935611038108,     0.62              ,         0,             0,              0
     0,            0,                   0,           2,                 5.0,                  8.0, 24.31011826544021 ,     1.3333333333333333,         0,             0,              1
     1,            1,                   0,           1,                 2.0,                  4.0, 32.78580814717477 ,     1.3333333333333333,         0,             0,              0
     1,            0,                   0,           2,                 2.0,                  3.6, 24.31011826544021 ,     1.2               ,         0,             0,              0
     0,            1,                   1,           2,                 5.0,                  8.7, 34.19842312746386 ,     1.45              ,         0,             0,              1
     0,            1,                   0,           3,                 4.0,                  8.0, 32.26018396846255 ,     1.6               ,         1,             0,              1
     1,            0,                   0,           3,                 5.0,                  6.8, 35.775295663600524,     1.1333333333333333,         1,             0,              1
     1,            0,                   1,           2,                 3.0,                  4.9, 25.36136662286465 ,     1.225             ,         0,             0,              0
     1,            1,                   0,           3,                 6.0,                  7.9, 27.660972404730618,     1.1285714285714286,         1,             1,              1
     0,            1,                   0,           3,                 6.0,                  7.6, 30.683311432325887,     1.0857142857142856,         1,             1,              1
     1,            0,                   0,           5,                 9.0,                  9.2, 34.09986859395532 ,     0.9199999999999999,         1,             1,              1
     0,            0,                   1,           4,                 6.0,                  6.5, 31.964520367936924,     0.9285714285714286,         1,             1,              1
     1,            0,                   0,           3,                 5.0,                  6.8, 28.38370565045992 ,     1.1333333333333333,         1,             0,              1
     1,            1,                   0,           4,                 8.0,                  8.7, 26.445466491458607,     0.9666666666666666,         1,             1,              1
     0,            0,                   1,           2,                 5.0,                  6.2, 28.580814717477004,     1.0333333333333334,         0,             0,              0
     1,            0,                   0,           3,                 5.0,                  5.8, 35.775295663600524,     0.9666666666666667,         1,             0,              0
     1,            1,                   0,           2,                 4.0,                  6.6, 29.50065703022339 ,     1.3199999999999998,         0,             0,              0
     0,            1,                   0,           4,                 7.0,                  8.2, 27.660972404730618,     1.025             ,         1,             1,              1
     1,            0,                   1,           2,                 3.0,                  4.9, 29.894875164257556,     1.225             ,         0,             0,              0
     1,            0,                   0,           1,                 2.0,                  4.1, 34.88830486202365 ,     1.3666666666666665,         0,             0,              0
     0,            0,                   0,           3,                 7.0,                  7.4, 29.00788436268068 ,     0.925             ,         1,             1,              1
     1,            1,                   1,           0,                 1.0,                  5.9, 32.03022339027595 ,     2.95              ,         0,             0,              0
     0,            0,                   1,           1,                 2.0,                  4.4, 31.373193166885674,     1.4666666666666668,         0,             0,              0
     1,            0,                   0,           2,                 6.0,                  6.9, 25.164257555847566,     0.9857142857142858,         0,             1,              1
     1,            1,                   1,           1,                 2.0,                  5.3, 26.346911957950066,     1.7666666666666666,         0,             0,              0
     1,            0,                   1,           2,                 2.0,                  4.3, 33.44283837056504 ,     1.4333333333333333,         0,             0,              0
     0,            1,                   1,           0,                 1.0,                  0.8, 27.135348226018397,     0.4               ,         0,             0,              0
     1,            0,                   1,           2,                 4.0,                  2.9, 33.14717477003942 ,     0.58              ,         0,             0,              0
     1,            0,                   1,           1,                 3.0,                  5.0, 33.67279894875164 ,     1.25              ,         0,             0,              0
     0,            0,                   1,           1,                 4.0,                  6.9, 31.40604467805519 ,     1.3800000000000001,         0,             0,              1
     1,            0,                   0,           3,                 5.0,                  4.7, 27.463863337713533,     0.7833333333333333,         1,             0,              0
     1,            0,                   0,           1,                 3.0,                  2.0, 34.59264126149803 ,     0.5               ,         0,             0,              0
     1,            0,                   0,           2,                 4.0,                  5.4, 27.398160315374508,     1.08              ,         0,             0,              0
     0,            1,                   0,           2,                 5.0,                  6.1, 29.96057818659658 ,     1.0166666666666666,         0,             0,              0
     1,            1,                   1,           1,                 4.0,                  5.1, 26.149802890932982,     1.02              ,         0,             0,              0
     1,            0,                   1,           1,                 2.0,                  3.8, 28.74507227332457 ,     1.2666666666666666,         0,             0,              0
     0,            1,                   0,           4,                 9.0,                  5.9, 35.31537450722733 ,     0.5900000000000001,         1,             1,              1
     1,            0,                   1,           3,                 5.0,                  4.7, 32.55584756898817 ,     0.7833333333333333,         1,             0,              0
     0,            0,                   1,           3,                 5.0,                  5.4, 26.182654402102497,     0.9               ,         1,             0,              0
     1,            0,                   0,           4,                 7.0,                  9.1, 35.019710906701704,     1.1375            ,         1,             1,              1
     0,            0,                   1,           1,                 3.0,                  5.0, 35.939553219448094,     1.25              ,         0,             0,              0
     0,            1,                   0,           1,                 1.0,                  0.0, 33.63994743758213 ,     0.0               ,         0,             0,              0
     0,            1,                   1,           2,                 4.0,                  4.3, 33.18002628120893 ,     0.86              ,         0,             0,              0
     1,            0,                   1,           2,                 4.0,                  6.7, 28.38370565045992 ,     1.34              ,         0,             0,              0
